source,task,routing_mode,ast_index,command,target,raw_command,success,duration_seconds,output_chars,search_result_role,information_gained,reason_for_call,next_action,classification,classification_label,hindsight_assessment
phase7e-r2,level3-007,semantic,2,search,--name process,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" && ast-tool search --name process . 2>&1 | head -30",True,13.539,78,declaration-only,1 symbol result(s); Method service::CheckoutService::process .\src\service\checkout_service.h:14:5,necessary semantic query,ast-tool:search --name submit,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r2,level3-007,semantic,3,search,--name submit,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" && ast-tool search --name submit . 2>&1 | head -30",True,17.255,71,declaration-only,1 symbol result(s); Method service::OrderService::submit .\src\service\order_service.h:18:5,necessary semantic query,ast-tool:search --name handle,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r2,level3-007,semantic,4,search,--name handle,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" && ast-tool search --name handle . 2>&1 | head -30",True,4.133,236,declaration-only,3 symbol result(s); Method web::AdminOrderHandler::handle .\src\web\admin_order_handler.h:13:5,necessary semantic query,Bash,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r2,level3-007,semantic,5,find,--type function_definition,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" && ast-tool find --type function_definition src/web/web_checkout_handler.cpp 2>&1",True,4.147,161,,"2 AST node line(s); 636C5918 function_definition @7:1 ""WebCheckoutHandler::WebCheckoutHandler(s...""",necessary semantic query,ast-tool:find --type function_definition,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r2,level3-007,semantic,6,find,--type function_definition,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" && ast-tool find --type function_definition src/service/checkout_service.cpp 2>&1",True,7.481,161,,"2 AST node line(s); 2A322B33 function_definition @8:1 ""CheckoutService::CheckoutService(OrderSe...""",context-fetch overhead,Bash,E,context-fetch overhead,reasonable per-file implementation lookup before source retrieval
phase7e-r2,level3-007,semantic,7,find,--type function_definition,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" && ast-tool find --type function_definition src/service/order_service.cpp 2>&1",True,4.091,161,,"2 AST node line(s); CC0A1510 function_definition @9:1 ""OrderService::OrderService(InventoryServ...""",context-fetch overhead,Read,E,context-fetch overhead,reasonable structural location step; editable source still required a Read
phase7e-r2,level3-008,semantic,1,callers,DataStore::save,"ast-tool callers DataStore::save D:/Projects/Cpp/temp/ast-tool/evaluation/repositories/level3-pipeline/src/ 2>&1
ast-tool callers DataStore::purge D:/Projects/Cpp/temp/ast-tool/evaluation/repositories/level3-pipeline/src/ 2>&1",False,4.326,284,,error: symbol not found: DataStore::save,recovery / error-handling overhead,ast-tool:search --name save,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r2,level3-008,semantic,2,search,--name save,"ast-tool search --name save D:/Projects/Cpp/temp/ast-tool/evaluation/repositories/level3-pipeline/src/ 2>&1
ast-tool search --name purge D:/Projects/Cpp/temp/ast-tool/evaluation/repositories/level3-pipeline/src/ 2>&1",True,4.187,257,declaration-only,2 symbol result(s); Method store::DataStore::save D:/Projects/Cpp/temp/ast-tool/evaluation/repositories/level3-pipeline/src/store\data_store.h:13:5,identity / resolution overhead,ast-tool:callers store::DataStore::save,B,identity / resolution overhead,reasonable identity step required before a relationship query
phase7e-r2,level3-008,semantic,3,callers,store::DataStore::save,"ast-tool callers store::DataStore::save D:/Projects/Cpp/temp/ast-tool/evaluation/repositories/level3-pipeline/src/ 2>&1
ast-tool callers store::DataStore::purge D:/Projects/Cpp/temp/ast-tool/evaluation/repositories/level3-pipeline/src/ 2>&1",True,4.215,244,,2 relationship result line(s); job::SyncJob::execute D:/Projects/Cpp/temp/ast-tool/evaluation/repositories/level3-pipeline/src/job\sync_job.cpp:24:12,necessary semantic query,Read,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r2,smoke-001,direct-ast,1,find,src/greeter.h greet,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool find src/greeter.h greet",False,9.757,78,,error: could not parse file,recovery / error-handling overhead,Read,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r2,smoke-001,direct-ast,2,top_level,,ast-tool --help 2>&1 | head -50,True,4.053,1135,,ast-tool — Source code inspection and semantic analysis.,recovery / error-handling overhead,ast-tool:find --help 2>&1,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r2,smoke-001,direct-ast,3,find,--help 2>&1,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool find --help 2>&1",True,4.212,1936,,39 AST node line(s); NAME,recovery / error-handling overhead,ast-tool:find --text greet,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r2,smoke-001,direct-ast,4,find,--text greet,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool find --text greet src/greeter.h",True,4.18,243,,"4 AST node line(s); BE817B8 translation_unit @1:1 ""#pragma once #include <string>  void gre...""",context-fetch overhead,Read,E,context-fetch overhead,reasonable structural location step; editable source still required a Read
phase7e-r2,smoke-001,direct-ast,5,references,src/greeter.h,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool references src/greeter.h 4",False,4.325,107,,error: workspace at '4' is empty or could not be analyzed,recovery / error-handling overhead,ast-tool:references --help,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r2,smoke-001,direct-ast,6,references,--help,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool references --help 2>&1",True,4.181,2076,,40 relationship result line(s); NAME,recovery / error-handling overhead,ast-tool:references greet,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r2,smoke-001,direct-ast,7,references,greet,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool references greet src/",False,4.241,168,,error: ambiguous symbol: greet,recovery / error-handling overhead,Read,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r2,smoke-001,direct-ast,8,references,--json,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool references --json --pretty greet src/ 2>&1 || true && ast-tool find --text greet --type identifier src/greeter.h",True,4.409,292,,7 relationship result line(s); {,necessary semantic query,ast-tool:references src/greeter.h:4,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r2,smoke-001,direct-ast,9,references,src/greeter.h:4,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool references src/greeter.h:4 src/ 2>&1",False,4.225,87,,error: symbol not found: src/greeter.h:4,recovery / error-handling overhead,ast-tool:references src/greeter.h,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r2,smoke-001,direct-ast,10,references,src/greeter.h,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool references src/greeter.h 4 2>&1",False,4.183,107,,error: workspace at '4' is empty or could not be analyzed,recovery / error-handling overhead,ast-tool:references greet,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r2,smoke-001,direct-ast,11,references,greet,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool references greet . 2>&1",False,4.205,172,,error: ambiguous symbol: greet,recovery / error-handling overhead,Read,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r3,level2-006,semantic,1,search,--name validate,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-gateway"" && ast-tool search --name validate .",True,10.101,50,declaration-only,1 symbol result(s); Method gw::Token::validate .\src\token\token.h:9:5,identity / resolution overhead,ast-tool:callers gw::Token::validate,B,identity / resolution overhead,reasonable identity step required before a relationship query
phase7e-r3,level2-006,semantic,2,callers,gw::Token::validate,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-gateway"" && ast-tool callers gw::Token::validate .",True,4.496,297,,4 relationship result line(s); handlers::ApiHandler::handle .\src\handlers\api_handler.cpp:15:17,necessary semantic query,Read,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r3,level2-008,semantic,1,callers,auth::AuthToken::expire,"ast-tool callers auth::AuthToken::expire ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth""",True,10.692,259,,2 relationship result line(s); auth::AuthService::refresh D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth\src\auth\auth_service.cpp:18:12,necessary semantic query,Read,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r3,level3-007,semantic,1,search,--name checkout,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" && ast-tool search --name checkout . 2>&1 | head -30",True,9.975,31,no-role-evidence,1 symbol result(s); (Bash completed with no output),identity / resolution overhead,ast-tool:search --name process,B,identity / resolution overhead,unproductive identity probe; it returned no symbol information
phase7e-r3,level3-007,semantic,2,search,--name process,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" && ast-tool search --name process . 2>&1 | head -30",True,13.265,78,declaration-only,1 symbol result(s); Method service::CheckoutService::process .\src\service\checkout_service.h:14:5,necessary semantic query,ast-tool:search --name submit,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r3,level3-007,semantic,3,search,--name submit,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" && ast-tool search --name submit . 2>&1 | head -30",True,17.049,71,declaration-only,1 symbol result(s); Method service::OrderService::submit .\src\service\order_service.h:18:5,necessary semantic query,ast-tool:search --name handle,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r3,level3-007,semantic,4,search,--name handle,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" && ast-tool search --name handle . 2>&1 && ast-tool search --kind function . 2>&1 | head -40",True,4.323,2594,declaration-and-definition,38 symbol result(s); Method web::AdminOrderHandler::handle .\src\web\admin_order_handler.h:13:5,necessary semantic query,Read,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r3,level3-008,semantic,1,callers,DataStore::save,"ast-tool callers DataStore::save ""D:/Projects/Cpp/temp/ast-tool/evaluation/repositories/level3-pipeline/src"" 2>&1
ast-tool callers DataStore::purge ""D:/Projects/Cpp/temp/ast-tool/evaluation/repositories/level3-pipeline/src"" 2>&1",False,4.281,282,,error: symbol not found: DataStore::save,recovery / error-handling overhead,ast-tool:search --name save,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r3,level3-008,semantic,2,search,--name save,"ast-tool search --name save ""D:/Projects/Cpp/temp/ast-tool/evaluation/repositories/level3-pipeline/src"" 2>&1
ast-tool search --name purge ""D:/Projects/Cpp/temp/ast-tool/evaluation/repositories/level3-pipeline/src"" 2>&1",True,4.131,257,declaration-only,2 symbol result(s); Method store::DataStore::save D:/Projects/Cpp/temp/ast-tool/evaluation/repositories/level3-pipeline/src\store\data_store.h:13:5,identity / resolution overhead,ast-tool:callers store::DataStore::save,B,identity / resolution overhead,reasonable identity step required before a relationship query
phase7e-r3,level3-008,semantic,3,callers,store::DataStore::save,"ast-tool callers store::DataStore::save ""D:/Projects/Cpp/temp/ast-tool/evaluation/repositories/level3-pipeline/src"" 2>&1
ast-tool callers store::DataStore::purge ""D:/Projects/Cpp/temp/ast-tool/evaluation/repositories/level3-pipeline/src"" 2>&1",True,4.22,244,,2 relationship result line(s); job::SyncJob::execute D:/Projects/Cpp/temp/ast-tool/evaluation/repositories/level3-pipeline/src\job\sync_job.cpp:24:12,necessary semantic query,Read,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r3,smoke-001,direct-ast,1,find,src/greeter.h greet,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool find src/greeter.h greet",False,9.864,78,,error: could not parse file,recovery / error-handling overhead,Read,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r3,smoke-001,direct-ast,2,top_level,,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool --help 2>&1 | head -40",True,4.166,1135,,ast-tool — Source code inspection and semantic analysis.,recovery / error-handling overhead,ast-tool:find --help 2>&1,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r3,smoke-001,direct-ast,3,find,--help 2>&1,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool find --help 2>&1",True,4.263,1936,,39 AST node line(s); NAME,recovery / error-handling overhead,ast-tool:find --text greet,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r3,smoke-001,direct-ast,4,find,--text greet,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool find --text greet src/greeter.h",True,4.014,243,,"4 AST node line(s); BE817B8 translation_unit @1:1 ""#pragma once #include <string>  void gre...""",context-fetch overhead,Read,E,context-fetch overhead,reasonable structural location step; editable source still required a Read
phase7e-r3,smoke-001,direct-ast,5,references,src/greeter.h,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool references src/greeter.h 4",False,4.075,107,,error: workspace at '4' is empty or could not be analyzed,recovery / error-handling overhead,ast-tool:references --help,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r3,smoke-001,direct-ast,6,references,--help,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool references --help 2>&1",True,4.023,2076,,40 relationship result line(s); NAME,recovery / error-handling overhead,ast-tool:references greet,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r3,smoke-001,direct-ast,7,references,greet,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool references greet src/",False,4.111,168,,error: ambiguous symbol: greet,recovery / error-handling overhead,Edit,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r4,level2-006,semantic,1,search,--name validate,"ast-tool search --name validate ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-gateway\src""",True,9.67,117,declaration-only,1 symbol result(s); Method gw::Token::validate D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-gateway\src\token\token.h:9:5,identity / resolution overhead,ast-tool:callers gw::Token::validate,B,identity / resolution overhead,reasonable identity step required before a relationship query
phase7e-r4,level2-006,semantic,2,callers,gw::Token::validate,"ast-tool callers gw::Token::validate ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-gateway\src""",True,4.132,565,,4 relationship result line(s); handlers::ApiHandler::handle D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-gateway\src\handlers\api_handler.cpp:15:17,necessary semantic query,Read,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r4,level2-008,semantic,1,search,--name expire,"ast-tool search --name expire ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth""",True,9.611,123,declaration-only,1 symbol result(s); Method auth::AuthToken::expire D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth\src\auth\auth_token.h:10:5,identity / resolution overhead,ast-tool:callers auth::AuthToken::expire,B,identity / resolution overhead,reasonable identity step required before a relationship query
phase7e-r4,level2-008,semantic,2,callers,auth::AuthToken::expire,"ast-tool callers auth::AuthToken::expire ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth""",True,4.057,259,,2 relationship result line(s); auth::AuthService::refresh D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth\src\auth\auth_service.cpp:18:12,necessary semantic query,Read,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r4,smoke-001,direct-ast,1,find,src/greeter.h greet,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool find src/greeter.h greet",False,9.521,78,,error: could not parse file,recovery / error-handling overhead,Read,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r4,smoke-001,direct-ast,2,find,src/greeter.h greet,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool find src/greeter.h greet 2>&1; echo ""---""; ast-tool --help 2>&1 | head -30",False,4.031,1093,,error: could not parse file,recovery / error-handling overhead,ast-tool:find --help 2>&1,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r4,smoke-001,direct-ast,3,find,--help 2>&1,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool find --help 2>&1",True,3.954,1936,,39 AST node line(s); NAME,recovery / error-handling overhead,ast-tool:find --text greet,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r4,smoke-001,direct-ast,4,find,--text greet,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool find --text greet src/greeter.h 2>&1",True,4.012,243,,"4 AST node line(s); BE817B8 translation_unit @1:1 ""#pragma once #include <string>  void gre...""",context-fetch overhead,Read,E,context-fetch overhead,reasonable structural location step; editable source still required a Read
phase7e-r4,smoke-001,direct-ast,5,references,src/greeter.h,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool references src/greeter.h 4 2>&1",False,4.094,107,,error: workspace at '4' is empty or could not be analyzed,recovery / error-handling overhead,ast-tool:references --help,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r4,smoke-001,direct-ast,6,references,--help,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool references --help 2>&1",True,4.019,2076,,40 relationship result line(s); NAME,recovery / error-handling overhead,ast-tool:references greet,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r4,smoke-001,direct-ast,7,references,greet,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool references greet src/ 2>&1",False,4.082,168,,error: ambiguous symbol: greet,recovery / error-handling overhead,ast-tool:symbols src/greeter.h,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r4,smoke-001,direct-ast,8,symbols,src/greeter.h,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool symbols src/greeter.h 2>&1",True,3.907,14,,greet 14EDE405,necessary semantic query,ast-tool:references --json,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r4,smoke-001,direct-ast,9,references,--json,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\basic-01"" && ast-tool references --json --pretty greet src/ 2>&1 | head -5; echo ""trying greeter.h greet:""; ast-tool references ""src/greeter.h:greet"" src/ 2>&1 | head -5",False,4.11,364,,error: symbol not found: src/greeter.h:greet,recovery / error-handling overhead,Edit,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r5,level2-006,semantic,1,search,--name validate,"ast-tool search --name validate ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-gateway""",True,9.751,117,declaration-only,1 symbol result(s); Method gw::Token::validate D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-gateway\src\token\token.h:9:5,identity / resolution overhead,ast-tool:callers gw::Token::validate,B,identity / resolution overhead,reasonable identity step required before a relationship query
phase7e-r5,level2-006,semantic,2,callers,gw::Token::validate,"ast-tool callers gw::Token::validate ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-gateway\src""",True,4.018,565,,4 relationship result line(s); handlers::ApiHandler::handle D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-gateway\src\handlers\api_handler.cpp:15:17,necessary semantic query,Read,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r5,level2-008,semantic,1,search,--name expire,"ast-tool search --name expire ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth""",True,9.601,123,declaration-only,1 symbol result(s); Method auth::AuthToken::expire D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth\src\auth\auth_token.h:10:5,identity / resolution overhead,ast-tool:callers auth::AuthToken::expire,B,identity / resolution overhead,reasonable identity step required before a relationship query
phase7e-r5,level2-008,semantic,2,callers,auth::AuthToken::expire,"ast-tool callers auth::AuthToken::expire ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth\src""",True,4.068,259,,2 relationship result line(s); auth::AuthService::refresh D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth\src\auth\auth_service.cpp:18:12,necessary semantic query,Read,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r5,level3-007,semantic,1,search,--name checkout,"ast-tool search --name checkout ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" 2>&1 | head -40",True,9.93,31,no-role-evidence,1 symbol result(s); (Bash completed with no output),identity / resolution overhead,ast-tool:search --name submit,B,identity / resolution overhead,unproductive identity probe; it returned no symbol information
phase7e-r5,level3-007,semantic,2,search,--name submit,"ast-tool search --name submit ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" 2>&1 | head -40",True,13.378,136,declaration-only,1 symbol result(s); Method service::OrderService::submit D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order\src\service\order_service.h:18:5,necessary semantic query,ast-tool:search --name process,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r5,level3-007,semantic,3,search,--name process,"ast-tool search --name process ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" 2>&1 | head -40",True,17.104,143,declaration-only,1 symbol result(s); Method service::CheckoutService::process D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order\src\service\checkout_service.h:14:5,necessary semantic query,ast-tool:search --name handle,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r5,level3-007,semantic,4,search,--name handle,"ast-tool search --name handle ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" 2>&1",True,4.151,431,declaration-only,3 symbol result(s); Method web::AdminOrderHandler::handle D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order\src\web\admin_order_handler.h:13:5,necessary semantic query,Glob,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r5,level3-008,semantic,1,search,--kind function,ast-tool search --kind function D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-pipeline 2>&1 | head -60,False,10.124,156,no-role-evidence,error: workspace at 'D:ProjectsCpptempast-toolevaluationrepositorieslevel3-pipeline' is empty or could not be analyzed,recovery / error-handling overhead,Bash,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r5,smoke-001,direct-ast,1,find,src/greeter.h greet,ast-tool find src/greeter.h greet,False,9.725,78,,error: could not parse file,recovery / error-handling overhead,Read,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r5,smoke-001,direct-ast,2,top_level,,ast-tool --help 2>&1 | head -50,True,4.224,1135,,ast-tool — Source code inspection and semantic analysis.,recovery / error-handling overhead,ast-tool:find --help 2>&1,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r5,smoke-001,direct-ast,3,find,--help 2>&1,ast-tool find --help 2>&1,True,4.056,1936,,39 AST node line(s); NAME,recovery / error-handling overhead,ast-tool:find --text greet,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r5,smoke-001,direct-ast,4,find,--text greet,ast-tool find --type function_declarator --text greet src/greeter.h 2>&1,True,4.217,66,,"1 AST node line(s); 3D2406F4 function_declarator @4:6 ""greet(const std::string& name)""",context-fetch overhead,ast-tool:references src/greeter.h,E,context-fetch overhead,reasonable per-file implementation lookup before source retrieval
phase7e-r5,smoke-001,direct-ast,5,references,src/greeter.h,ast-tool references src/greeter.h 4 2>&1,False,4.503,107,,error: workspace at '4' is empty or could not be analyzed,recovery / error-handling overhead,Read,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r5,smoke-001,direct-ast,6,references,--help,ast-tool references --help 2>&1,True,4.221,2076,,40 relationship result line(s); NAME,recovery / error-handling overhead,ast-tool:references greet,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r5,smoke-001,direct-ast,7,references,greet,ast-tool references greet src/ 2>&1,False,4.368,168,,error: ambiguous symbol: greet,recovery / error-handling overhead,Read,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r5,smoke-001,direct-ast,8,references,greet,ast-tool references greet src/ 2>&1 || ast-tool find --type identifier --text greet src/main.cpp 2>&1,False,4.794,224,,error: ambiguous symbol: greet,recovery / error-handling overhead,Read,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
phase7e-r6,level3-007,semantic,1,search,--name checkout,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" && ast-tool search --name checkout . 2>&1 | head -30",True,9.547,31,no-role-evidence,1 symbol result(s); (Bash completed with no output),identity / resolution overhead,ast-tool:search --name process,B,identity / resolution overhead,unproductive identity probe; it returned no symbol information
phase7e-r6,level3-007,semantic,2,search,--name process,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" && ast-tool search --name process . 2>&1 | head -30",True,12.855,78,declaration-only,1 symbol result(s); Method service::CheckoutService::process .\src\service\checkout_service.h:14:5,necessary semantic query,ast-tool:search --name submit,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r6,level3-007,semantic,3,search,--name submit,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" && ast-tool search --name submit . 2>&1 | head -30",True,16.122,71,declaration-only,1 symbol result(s); Method service::OrderService::submit .\src\service\order_service.h:18:5,necessary semantic query,ast-tool:search --name handle,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r6,level3-007,semantic,4,search,--name handle,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" && ast-tool search --name handle . 2>&1 | head -30",True,4.066,236,declaration-only,3 symbol result(s); Method web::AdminOrderHandler::handle .\src\web\admin_order_handler.h:13:5,necessary semantic query,Glob,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r6,level3-007,semantic,5,find,--type function_definition,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" && ast-tool find --type function_definition src/web/web_checkout_handler.cpp 2>&1",True,3.949,161,,"2 AST node line(s); 636C5918 function_definition @7:1 ""WebCheckoutHandler::WebCheckoutHandler(s...""",necessary semantic query,ast-tool:find --type function_definition,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
phase7e-r6,level3-007,semantic,6,find,--type function_definition,"cd ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-order"" && ast-tool find --type function_definition src/service/checkout_service.cpp 2>&1",True,7.377,161,,"2 AST node line(s); 2A322B33 function_definition @8:1 ""CheckoutService::CheckoutService(OrderSe...""",context-fetch overhead,ast-tool:find --type function_definition,E,context-fetch overhead,reasonable per-file implementation lookup before source retrieval
